pasta,identifier,filename,Formato,titulo,size,Link
(1) Teoria Geral das Licitações,APRESENTACAO_AULA01,Apresentação Aula01,p4,Apresentação - Teoria Geral das Licitações,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/APRESENTACAO_AULA01/qualidade-720.mp4
(1) Teoria Geral das Licitações,AULA_03-PROF_TIOSSI_JR,Aula 03 - Prof. Tiossi Jr,p4,Aula 03 - Prof. Tiossi Jr,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_03-PROF_TIOSSI_JR/qualidade-720.mp4
(1) Teoria Geral das Licitações,AULA_02-PROF_TIOSSI,Aula 02 - Prof. Tiossi,p4,Aula 02 - Prof. Tiossi,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_02-PROF_TIOSSI/qualidade-720.mp4
(1) Teoria Geral das Licitações,AULA_01-PROF_TIOSSI,Aula 01 - Prof. Tiossi,p4,Aula 01 - Prof. Tiossi,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_01-PROF_TIOSSI/qualidade-720.mp4
(10) Obras e Serviços de Engenharia,CONCLUSAO-HAMILTON,Conclusão - Hamilton,p4,Conclusão - Hamilton,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/CONCLUSAO-HAMILTON/qualidade-720.mp4
(10) Obras e Serviços de Engenharia,AULA_2-HAMILTON,Aula 2 - Hamilton,p4,Aula 2 - Hamilton,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_2-HAMILTON/qualidade-720.mp4
(10) Obras e Serviços de Engenharia,AULA_3-HAMILTON,Aula 3 - Hamilton,p4,Aula 3 - Hamilton,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_3-HAMILTON/qualidade-720.mp4
(10) Obras e Serviços de Engenharia,ABERTURA-HAMILTON,Abertura - Hamilton,p4,Abertura - Hamilton,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/ABERTURA-HAMILTON/qualidade-720.mp4
(10) Obras e Serviços de Engenharia,AULA_1-HAMILTON,Aula 1 - Hamilton,p4,Aula 1 - Hamilton,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_1-HAMILTON/qualidade-720.mp4
"(11) Pregão, Concorrência e Dispensa Eletrônica",AULA_03-PREGAO_CONCORRENCIA_E_DISPENSA_ELETRONICA,Aula 03 - Pregão Concorrência e Dispensa Eletrônica,p4,Aula 03 - Pregão Concorrência e Dispensa Eletrônica,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_03-PREGAO_CONCORRENCIA_E_DISPENSA_ELETRONICA/qualidade-720.mp4
